Country	Population	Region	Ethnicolr
China	1400270000	EastAsian	Asian,GreaterEastAsian,EastAsian
India	1355590000	SouthAsian	Asian,IndianSubContinent
United States	330348000	CelticEnglish	GreaterEuropean,British
Indonesia	266911900	EastAsian	Asian,GreaterEastAsian,EastAsian
Pakistan	217813000	Muslim	GreaterAfrican,Muslim
Brazil	210799000	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Bangladesh	167691000	Muslim	Asian,IndianSubContinent
Russia	146793744	European	GreaterEuropean,EastEuropean
Mexico	126577691	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Japan	126140000	EastAsian	Asian,GreaterEastAsian,EastAsian
Philippines	108616000	Hispanic	Asian,GreaterEastAsian,EastAsian
Egypt	99694900	Muslim	GreaterAfrican,Muslim
Ethiopia	98665000	African	GreaterAfrican,Africans
Vietnam	96208984	EastAsian	Asian,GreaterEastAsian,EastAsian
Germany	83073100	European	GreaterEuropean,WestEuropean,Germanic
Iran	83001000	Muslim	GreaterAfrican,Muslim
Turkey	82003882	Muslim	GreaterAfrican,Muslim
France	67081000	European	GreaterEuropean,WestEuropean,French
Thailand	66441700	EastAsian	Asian,GreaterEastAsian,EastAsian
United Kingdom	66435600	CelticEnglish	GreaterEuropean,British
Italy	60262701	European	GreaterEuropean,WestEuropean,Italian
South African	58775022	Africa	GreaterAfrican,Africans
Tanzania	55890747	African	GreaterAfrican,Africans
Myanmar	54339766	EastAsian	Asian,GreaterEastAsian,EastAsian
South Korea	51811167	EastAsian	Asian,GreaterEastAsian,EastAsian
Colombia	48258494	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Kenya	47564296	African	GreaterAfrican,Africans
Spain	46934632	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Argentina	44938712	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Algeria	42200000	Muslim	GreaterAfrican,Muslim
Sudan	42074305	Muslim	GreaterAfrican,Muslim
Ukraine	41960033	European	GreaterEuropean,EastEuropean
Uganda	40006700	African	GreaterAfrican,Africans
Iraq	39127900	Muslim	GreaterAfrican,Muslim
Poland	38386000	European	GreaterEuropean,EastEuropean
Canada	37837600	CelticEnglish	GreaterEuropean,British
Morocco	35740000	Muslim	GreaterAfrican,Muslim
Saudi Arabia	34218169	Muslim	GreaterAfrican,Muslim
Uzbekistan	33866490	Muslim	GreaterAfrican,Muslim
Malaysia	32680200	EastAsian	Asian,GreaterEastAsian,EastAsian
Afghanistan	32225560	Muslim	GreaterAfrican,Muslim
Venezuela	32219521	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Peru	32131400	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Ghana	30280811	African	GreaterAfrican,Africans
Angola	30175553	Hispanic	GreaterAfrican,Africans
Nepal	29609623	SouthAsian	Asian,IndianSubContinent
Mozambique	28571310	Hispanic	GreaterAfrican,Africans
Australia	25540900	CelticEnglish	GreaterEuropean,British
North Korea	25450000	EastAsian	Asian,GreaterEastAsian,EastAsian
Taiwan	23596266	EastAsian	Asian,GreaterEastAsian,EastAsian
Niger	22314743	African	GreaterAfrican,Africans
Sri Lanka	21803000	SouthAsian	Asian,IndianSubContinent
Romania	19405156	European	GreaterEuropean,EastEuropean
Chile	19107216	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Kazakhstan	18599936	Muslim	GreaterAfrican,Muslim
Zambia	17381168	African	GreaterAfrican,Africans
Ecuador	17374900	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Netherlands	17362600	European	GreaterEuropean,WestEuropean,Germanic
Syria	17070135	Muslim	GreaterAfrican,Muslim
Senegal	16209125	African	GreaterAfrican,Africans
Somalia	15442905	Muslim	GreaterAfrican,Muslim
Cambodia	15288489	EastAsian	Asian,GreaterEastAsian,EastAsian
Zimbabwe	15159624	African	GreaterAfrican,Africans
Guatemala	14901286	Hispanic	GreaterEuropean,WestEuropean,Hispanic
South Sudan	12778250	African	GreaterAfrican,Africans
Rwanda	12374397	African	GreaterAfrican,Africans
Guinea	12218357	African	GreaterAfrican,Africans
Benin	11733059	African	GreaterAfrican,Africans
Tunisia	11551448	Muslim	GreaterAfrican,Muslim
Belgium	11505732	European	GreaterEuropean,WestEuropean,French
Bolivia	11469896	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Greece	10741165	European	GreaterEuropean,WestEuropean,Italian
Czech Republic	10668641	European	GreaterEuropean,EastEuropean
Jordan	10561800	Muslim	GreaterAfrican,Muslim
Sweden	10313447	European	GreaterEuropean,WestEuropean,Nordic
Portugal	10276617	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Azerbaijan	10027874	Muslim	GreaterEuropean,EastEuropean
Hungary	9772756	European	GreaterEuropean,EastEuropean
United Arab Emirates	9770529	Muslim	GreaterAfrican,Muslim
Belarus	9454800	European	GreaterEuropean,EastEuropean
Honduras	9158345	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Israel	9124800	Israel	GreaterEuropean,Jewish
Austria	8898457	European	GreaterEuropean,WestEuropean,Germanic
Switzerland	8570146	European	GreaterEuropean,WestEuropean,Germanic
Sierra Leone	7901454	African	GreaterAfrican,Africans
Togo	7538000	African	GreaterAfrican,Africans
Hong Kong	7524100	EastAsian	Asian,GreaterEastAsian,EastAsian
Paraguay	7152703	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Bulgaria	7000039	European	GreaterEuropean,EastEuropean
Serbia	6963764	European	GreaterEuropean,EastEuropean
Lebanon	6855713	Muslim	GreaterAfrican,Muslim
Libya	6777452	Muslim	GreaterAfrican,Muslim
El Salvador	6704864	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Nicaragua	6460411	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Denmark	5827463	European	GreaterEuropean,WestEuropean,Nordic
Singapore	5703600	EastAsian	Asian,GreaterEastAsian,EastAsian
Finland	5526306	European	GreaterEuropean,WestEuropean,Nordic
Slovakia	5450017	European	GreaterEuropean,EastEuropean
Congo	5380508	African	GreaterAfrican,Africans
Norway	5356789	European	GreaterEuropean,WestEuropean,Nordic
Costa Rica	5058007	Hispanic	GreaterEuropean,WestEuropean,Hispanic
New Zealand	4945740	CelticEnglish	GreaterEuropean,British
Ireland	4921500	CelticEnglish	GreaterEuropean,British
Liberia	4475353	African	GreaterAfrican,Africans
Kuwait	4420110	Muslim	GreaterAfrican,Muslim
Panama	4218808	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Croatia	4076246	European	GreaterEuropean,EastEuropean
Uruguay	3518552	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Bosnia and Herzegovina	3301000	European	GreaterEuropean,EastEuropean
Lithuania	2793486	European	GreaterEuropean,EastEuropean
Qatar	2747282	Muslim	GreaterAfrican,Muslim
Namibia	2458936	African	GreaterAfrican,Africans
Botswana	2338851	African	GreaterAfrican,Africans
Slovenia	2089310	European	GreaterEuropean,EastEuropean
North Macedonia	2077132	European	GreaterEuropean,EastEuropean
Latvia	1910400	European	GreaterEuropean,EastEuropean
Equatorial Guinea	1358276	African	GreaterAfrican,Africans
Estonia	1324820	European	GreaterEuropean,EastEuropean
Montenegro	622359	European	GreaterEuropean,EastEuropean
