	African	CelticEnglish	EastAsian	European	Hispanic	Israel	Muslim	SouthAsian
Michael Waterman	0.002903686	0.9678229	0.0047289846	0.019799294	0.0010424602	0.00019036626	0.0018882359	0.0016240637
Temple Smith	0.0025687611	0.9595877	0.0045124628	0.0024177476	0.0047326977	9.5790885e-05	0.0045405026	0.021544345
Janet Thornton	0.00017622087	0.99392337	0.00059045944	0.0017502102	0.0004149117	8.093213e-06	0.00066712056	0.0024696318
David Sankoff	0.00053863827	0.97890717	0.00056860835	0.007989188	0.008133513	0.0004931757	0.0021992447	0.0011704108
David Lipman	0.0015464604	0.7908961	0.0011184567	0.17258692	0.0051410925	0.026198579	0.0021152047	0.00039715442
David Haussler	9.9585275e-05	0.42113218	0.0025708056	0.5524033	0.015727805	0.00767083	0.0001551493	0.00024037455
Alfonso Valencia	0.0017455489	0.1578645	0.0018931243	0.08316528	0.75285953	0.000107375614	0.00043326983	0.0019314225
Gary Stormo	0.0009811807	0.94539785	0.025059747	0.017883152	0.007639589	5.6303128e-05	0.0013086714	0.0016735074
Chris Sander	0.002736099	0.88493186	0.0037382585	0.096318185	0.003187201	0.0006183227	0.0028448068	0.0056252424
Lawrence Hunter	0.013019114	0.95993817	0.008064309	0.007769962	0.003242352	1.9657682e-05	0.0037149703	0.0042313556
Russ Altman	0.0016771497	0.97301537	0.0014762676	0.010466254	0.003516201	0.00082131807	0.00528852	0.0037388916
Richard Durbin	7.942276e-05	0.8968557	0.0005300949	0.10093399	0.0007125826	2.8096209e-05	0.00041219316	0.00044794823
Philip Bourne	0.0018788592	0.9862613	0.00017233193	0.010587888	0.00030962177	0.000134343	0.0004550468	0.00020061557
Soren Brunak	0.00222658	0.18936387	0.010309573	0.7416394	0.03141579	0.0015088052	0.0055944994	0.017941426
Julio Collado-Vides	0.0016384904	0.039117206	0.00022427064	0.9197188	0.038953133	9.938215e-05	0.00014825632	0.0001005663
Michael Ashburner	0.00042142574	0.98558784	0.0019394616	0.0037693572	0.0011510282	0.00049708487	0.0013214973	0.0053122197
Martin Vingron	0.0009043635	0.32416755	0.0017887147	0.63637453	0.02831642	0.0006997506	0.0013203445	0.006428197
Gunnar von Heijne	5.2577718e-05	0.08487763	0.0019652257	0.91094023	0.00023962292	5.0290295e-05	0.0018314413	4.300236e-05
Ron Shamir	0.0011668808	0.0849124	0.009372383	0.035962716	0.0026766167	0.8418683	0.021253122	0.0027874843
Pavel Pevzner	0.00031211015	0.047591828	0.00086537545	0.93993515	0.0011961301	0.00014607953	0.008907048	0.0010463247
Jill Mesirov	0.00012640133	0.4342188	0.0006189178	0.2753968	0.0142663475	0.007743038	0.26739538	0.00023424054
Peter Karp	0.021208636	0.83054894	0.0009926296	0.13562845	0.004029512	0.0005126937	0.0055279993	0.0015512435
Bonnie Berger	0.0033065474	0.87474906	0.0049131927	0.096418284	0.008935933	0.0044396734	0.0036953732	0.003541955
Steven Salzberg	5.4015596e-05	0.9586587	0.0029281091	0.02258875	0.0052167065	0.008351544	0.0013884238	0.00081368716
Eugene W Myers	0.001140847	0.9873778	0.0024196676	0.0027417992	0.0011831895	4.3517288e-05	0.0005454396	0.004547598
Ruth Nussinov	0.0007016947	0.08610653	0.0022215692	0.6528615	0.0045739077	0.21484981	0.03797599	0.00070897286
Webb Miller	7.276062e-05	0.99647176	0.00042315366	0.00047571564	0.00045199535	5.2800488e-06	0.00036124952	0.0017381087
Satoru Miyano	0.0001828721	0.0067170104	0.9901338	0.002420508	0.00029268983	1.31884935e-05	4.825011e-05	0.00019158123
Minoru Kanehisa	0.0035359012	0.0015799388	0.99364567	0.0006188779	0.00027447578	2.3876348e-05	0.00012179811	0.00019948685
David Eisenberg	0.000264989	0.7359856	0.0023536447	0.12757626	0.0044368277	0.12753327	0.0013193984	0.0005300963
Pierre Baldi	0.0020831316	0.016906153	0.0006186099	0.9760133	0.0030652336	6.536889e-05	0.0011222798	0.00012585963
Andrej Sali	7.701037e-06	0.0012820604	0.0010551036	0.98072666	0.00068373483	0.0004096279	0.015737627	9.745944e-05
Nir Friedman	6.622403e-05	0.030422134	0.00036547144	0.0041164793	0.0006116098	0.9640973	0.0002015235	0.0001192857
Robert Gentleman	0.0074789687	0.8968179	0.0017051649	0.08721477	0.002599229	0.00039989298	0.0011306192	0.0026534698
Ewan Birney	0.00019286347	0.99077296	0.0016910254	0.0031690735	0.00065349956	7.647474e-05	0.0010664329	0.0023777108
Amos Bairoch	0.0045553306	0.058413364	0.0006044338	0.007378288	0.0038478787	0.9239552	0.0007004591	0.0005450277
Burkhard Rost	5.8931124e-05	0.08829245	0.00042476383	0.9098674	0.00039397783	7.810389e-05	0.0008152207	6.90691e-05
