Country	Region
China	EastAsian
India	SouthAsian
United States	CelticEnglish
Indonesia	EastAsian
Pakistan	Muslim
Brazil	Hispanic
Bangladesh	Muslim
Russia	European
Mexico	Hispanic
Japan	EastAsian
Philippines	Hispanic
Egypt	Muslim
Ethiopia	African
Vietnam	EastAsian
Germany	European
Iran	Muslim
Turkey	Muslim
France	European
Thailand	EastAsian
United Kingdom	CelticEnglish
Italy	European
South African	Africa
Tanzania	African
Myanmar	EastAsian
South Korea	EastAsian
Colombia	Hispanic
Kenya	African
Spain	Hispanic
Argentina	Hispanic
Algeria	Muslim
Sudan	Muslim
Ukraine	European
Uganda	African
Iraq	Muslim
Poland	European
Canada	CelticEnglish
Morocco	Muslim
Saudi Arabia	Muslim
Uzbekistan	Muslim
Malaysia	EastAsian
Afghanistan	Muslim
Venezuela	Hispanic
Peru	Hispanic
Ghana	African
Angola	Hispanic
Nepal	SouthAsian
Mozambique	Hispanic
Australia	CelticEnglish
North Korea	EastAsian
Taiwan	EastAsian
Niger	African
Sri Lanka	SouthAsian
Romania	European
Chile	Hispanic
Kazakhstan	Muslim
Zambia	African
Ecuador	Hispanic
Netherlands	European
Syria	Muslim
Senegal	African
Somalia	Muslim
Cambodia	EastAsian
Zimbabwe	African
Guatemala	Hispanic
South Sudan	African
Rwanda	African
Guinea	African
Benin	African
Tunisia	Muslim
Belgium	European
Bolivia	Hispanic
Greece	European
Czech Republic	European
Jordan	Muslim
Sweden	European
Portugal	Hispanic
Azerbaijan	Muslim
Hungary	European
United Arab Emirates	Muslim
Belarus	European
Honduras	Hispanic
Israel	Israel
Austria	European
Switzerland	European
Sierra Leone	African
Togo	African
Hong Kong	EastAsian
Paraguay	Hispanic
Bulgaria	European
Serbia	European
Lebanon	Muslim
Libya	Muslim
El Salvador	Hispanic
Nicaragua	Hispanic
Denmark	European
Singapore	EastAsian
Finland	European
Slovakia	European
Congo	African
Norway	European
Costa Rica	Hispanic
New Zealand	CelticEnglish
Ireland	CelticEnglish
Liberia	African
Kuwait	Muslim
Panama	Hispanic
Croatia	European
Uruguay	Hispanic
Bosnia and Herzegovina	European
Lithuania	European
Qatar	Muslim
Namibia	African
Botswana	African
Slovenia	European
North Macedonia	European
Latvia	European
Equatorial Guinea	African
Estonia	European
Montenegro	European
