	African	CelticEnglish	EastAsian	European	Greek	Hispanic	Jewish	Muslim	Nordic	SouthAsian
Philip Bourne	0.0010908048	0.96701413	0.00020882145	0.01581541	0.00024753812	0.0011723025	0.00014802406	0.0038967526	0.01013655	0.0002697458
Soren Brunak	0.0075059654	0.022283262	0.06746992	0.6385942	0.008025004	0.12103506	0.0016690664	0.03330732	0.0045837825	0.09552642
Julio Collado-Vides	0.0026531145	0.056552462	0.015758663	0.59924954	0.0026943965	0.31402916	0.0001388601	0.0026376122	0.005164329	0.001121869
Michael Ashburner	0.003966904	0.9546914	0.0014669779	0.013694364	0.00052911445	0.0019915614	0.011768129	0.0052873343	0.0020697452	0.0045345216
Martin Vingron	0.010477925	0.5669839	0.008191748	0.31047547	0.0022811498	0.02796415	0.0027590771	0.0031747394	0.053405304	0.014286491
Gunnar von Heijne	3.4451957e-06	0.00015481531	0.00018633818	0.9851008	7.1178474e-05	0.000113409056	0.00013779897	0.001178734	0.013051746	1.7955754e-06
Ron Shamir	0.0074606007	0.005830285	0.0016617475	0.00798994	0.00014920085	0.0030012967	0.95698225	0.012557335	0.0016078808	0.0027594632
Pavel Pevzner	2.360067e-05	0.00036272517	0.00025441637	0.8319845	0.00019823547	1.7503156e-05	2.0211475e-05	0.1669979	3.434506e-05	0.00010651132
Jill Mesirov	0.0071113254	0.060615033	0.010219377	0.20219454	6.0431914e-05	0.010430124	0.0027489269	0.6967834	0.003534192	0.0063025574
Peter Karp	0.044980694	0.51913095	0.0053518103	0.30616075	0.0009154697	0.005286509	0.0064652315	0.026944984	0.08182248	0.0029412408
Bonnie Berger	0.0072938246	0.025451085	0.0032560716	0.78108466	0.00026347858	0.008689069	0.0030184528	0.0012360698	0.1683099	0.0013973172
Steven Salzberg	0.0106893405	0.09633956	0.0040530865	0.23566887	0.0006876094	0.082440145	0.5099294	0.0050439243	0.05060417	0.0045439214
Eugene W Myers	0.0038309866	0.9503728	0.0015979686	0.030918062	0.00042124538	0.006543691	0.00018296321	0.0016518924	0.0022376806	0.0022426713
Ruth Nussinov	0.0001872907	0.0012244054	0.00072701427	0.75071234	8.510044e-05	0.00063330145	0.22528298	0.019692447	0.0013866964	6.850146e-05
Webb Miller	0.040564585	0.72042644	0.035979897	0.031825006	0.0009637819	0.09343741	0.000464307	0.0045054294	0.0006041348	0.07122901
Satoru Miyano	7.7471464e-05	0.00026595197	0.99910116	0.0002825884	5.7080906e-05	6.78e-05	1.3675373e-05	2.6610482e-05	2.3863606e-05	8.374865e-05
Minoru Kanehisa	0.0010960792	0.00066985784	0.9928502	0.0017192326	8.40014e-05	0.00059096597	3.0196645e-05	7.5829485e-05	0.002676497	0.00020710066
David Eisenberg	0.014613887	0.020835616	0.0041502267	0.48309162	0.0004480516	0.0048224186	0.33731037	0.12374971	0.00951227	0.0014658158
