Country	Population	Region	Ethnicolr
China	1400270000	Asia	Asian,GreaterEastAsian,EastAsian
India	1355590000	Asia	Asian,IndianSubContinent
United States	330348000	NorthAmerica	GreaterEuropean,British
Indonesia	266911900	Asia	Asian,GreaterEastAsian,EastAsian
Pakistan	217813000	Muslim	GreaterAfrican,Muslim
Brazil	210799000	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Nigeria	200963599	Africa	GreaterAfrican,Africans
Bangladesh	167691000	Asia	Asian,IndianSubContinent
Russia	146793744	Europe	GreaterEuropean,EastEuropean
Mexico	126577691	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Japan	126140000	Asia	Asian,GreaterEastAsian,EastAsian
Philippines	108616000	Asia	Asian,GreaterEastAsian,EastAsian
Egypt	99694900	Muslim	GreaterAfrican,Muslim
Ethiopia	98665000	Africa	GreaterAfrican,Africans
Vietnam	96208984	Asia	Asian,GreaterEastAsian,EastAsian
Democratic Republic of the Congo	86790567	Africa	GreaterAfrican,Africans
Germany	83073100	Europe	GreaterEuropean,WestEuropean,Germanic
Iran	83001000	Muslim	GreaterAfrican,Muslim
Turkey	82003882	Muslim	GreaterAfrican,Muslim
France	67081000	Europe	GreaterEuropean,WestEuropean,French
Thailand	66441700	Asia	Asian,GreaterEastAsian,EastAsian
United Kingdom	66435600	Europe	GreaterEuropean,British
Italy	60262701	Europe	GreaterEuropean,WestEuropean,Italian
South Africa	58775022	Africa	GreaterAfrican,Africans
Tanzania	55890747	Africa	GreaterAfrican,Africans
Myanmar	54339766	Asia	Asian,GreaterEastAsian,EastAsian
South Korea	51811167	Asia	Asian,GreaterEastAsian,EastAsian
Colombia	48258494	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Kenya	47564296	Africa	GreaterAfrican,Africans
Spain	46934632	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Argentina	44938712	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Algeria	42200000	Muslim	GreaterAfrican,Muslim
Sudan	42074305	Muslim	GreaterAfrican,Muslim
Ukraine	41960033	Europe	GreaterEuropean,EastEuropean
Uganda	40006700	Africa	GreaterAfrican,Africans
Iraq	39127900	Muslim	GreaterAfrican,Muslim
Poland	38386000	Europe	GreaterEuropean,EastEuropean
Canada	37837600	NorthAmerica	GreaterEuropean,British
Morocco	35740000	Muslim	GreaterAfrican,Muslim
Saudi Arabia	34218169	Muslim	GreaterAfrican,Muslim
Uzbekistan	33866490	Muslim	GreaterAfrican,Muslim
Malaysia	32680200	Asia	Asian,GreaterEastAsian,EastAsian
Afghanistan	32225560	Muslim	GreaterAfrican,Muslim
Venezuela	32219521	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Peru	32131400	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Ghana	30280811	Africa	GreaterAfrican,Africans
Angola	30175553	Africa	GreaterAfrican,Africans
Nepal	29609623	Asia	Asian,IndianSubContinent
Yemen	29161922	Muslim	GreaterAfrican,Muslim
Mozambique	28571310	Africa	GreaterAfrican,Africans
Cameroon	25876000	Africa	GreaterAfrican,Africans
Ivory Coast	25823071	Africa	GreaterAfrican,Africans
Madagascar	25680342	Africa	GreaterAfrican,Africans
Australia	25540900	Pacific	GreaterEuropean,British
North Korea	25450000	Asia	Asian,GreaterEastAsian,EastAsian
Taiwan	23596266	Asia	Asian,GreaterEastAsian,EastAsian
Niger	22314743	Africa	GreaterAfrican,Africans
Sri Lanka	21803000	Asia	Asian,IndianSubContinent
Burkina Faso	20870060	Africa	GreaterAfrican,Africans
Mali	19973000	Africa	GreaterAfrican,Africans
Romania	19405156	Europe	GreaterEuropean,EastEuropean
Chile	19107216	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Kazakhstan	18599936	Muslim	GreaterAfrican,Muslim
Malawi	17563749	Africa	GreaterAfrican,Africans
Zambia	17381168	Africa	GreaterAfrican,Africans
Ecuador	17374900	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Netherlands	17362600	Europe	GreaterEuropean,WestEuropean,Germanic
Syria	17070135	Muslim	GreaterAfrican,Muslim
Senegal	16209125	Africa	GreaterAfrican,Africans
Chad	15692969	Africa	GreaterAfrican,Africans
Somalia	15442905	Muslim	GreaterAfrican,Muslim
Cambodia	15288489	Asia	Asian,GreaterEastAsian,EastAsian
Zimbabwe	15159624	Africa	GreaterAfrican,Africans
Guatemala	14901286	Hispanic	GreaterEuropean,WestEuropean,Hispanic
South Sudan	12778250	Africa	GreaterAfrican,Africans
Rwanda	12374397	Africa	GreaterAfrican,Africans
Guinea	12218357	Africa	GreaterAfrican,Africans
Benin	11733059	Africa	GreaterAfrican,Africans
Haiti	11577779	Caribbean	New,Caribbean
Tunisia	11551448	Muslim	GreaterAfrican,Muslim
Belgium	11505732	Europe	GreaterEuropean,WestEuropean,French
Bolivia	11469896	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Cuba	11209628	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Burundi	10953317	Africa	GreaterAfrican,Africans
Greece	10741165	Europe	GreaterEuropean,WestEuropean,Italian
Czech Republic	10668641	Europe	GreaterEuropean,EastEuropean
Jordan	10561800	Muslim	GreaterAfrican,Muslim
Dominican Republic	10358320	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Sweden	10313447	Europe	GreaterEuropean,WestEuropean,Nordic
Portugal	10276617	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Azerbaijan	10027874	Europe	GreaterEuropean,EastEuropean
Hungary	9772756	Europe	GreaterEuropean,EastEuropean
United Arab Emirates	9770529	Muslim	GreaterAfrican,Muslim
Belarus	9454800	Europe	GreaterEuropean,EastEuropean
Honduras	9158345	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Tajikistan	9127000	Muslim	GreaterAfrican,Muslim
Israel	9124800	Israel	GreaterEuropean,Jewish
Austria	8898457	Europe	GreaterEuropean,WestEuropean,Germanic
Switzerland	8570146	Europe	GreaterEuropean,WestEuropean,Germanic
Papua New Guinea	8558800	Asia	Asian,GreaterEastAsian,EastAsian
Sierra Leone	7901454	Africa	GreaterAfrican,Africans
Togo	7538000	Africa	GreaterAfrican,Africans
Hong Kong	7524100	Asia	Asian,GreaterEastAsian,EastAsian
