Country	Population	Region	Ethnicolr
Paraguay	7152703	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Laos	7123205	Asia	Asian,GreaterEastAsian,EastAsian
Bulgaria	7000039	Europe	GreaterEuropean,EastEuropean
Serbia	6963764	Europe	GreaterEuropean,EastEuropean
Lebanon	6855713	Muslim	GreaterAfrican,Muslim
Libya	6777452	Muslim	GreaterAfrican,Muslim
El Salvador	6704864	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Kyrgyzstan	6490300	Muslim	GreaterAfrican,Muslim
Nicaragua	6460411	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Turkmenistan	5942089	Muslim	GreaterAfrican,Muslim
Denmark	5827463	Europe	GreaterEuropean,WestEuropean,Nordic
Singapore	5703600	Asia	Asian,GreaterEastAsian,EastAsian
Finland	5526306	Europe	GreaterEuropean,WestEuropean,Nordic
Central African Republic	5496011	Africa	GreaterAfrican,Africans
Slovakia	5450017	Europe	GreaterEuropean,EastEuropean	
Congo	5380508	Africa	GreaterAfrican,Africans
Norway	5356789	Europe	GreaterEuropean,WestEuropean,Nordic
Costa Rica	5058007	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Palestine	4976684	Muslim	GreaterAfrican,Muslim
New Zealand	4945740	Pacific	GreaterEuropean,British
Ireland	4921500	Europe	GreaterEuropean,British
Oman	4674926	Muslim	GreaterAfrican,Muslim
Liberia	4475353	Africa	GreaterAfrican,Africans
Kuwait	4420110	Muslim	GreaterAfrican,Muslim
Panama	4218808	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Mauritania	4077347	Africa	GreaterAfrican,Africans
Croatia	4076246	Europe	GreaterEuropean,EastEuropean
Georgia	3723500	Europe	GreaterEuropean,EastEuropean
Uruguay	3518552	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Eritrea	3497117	Muslim	GreaterAfrican,Muslim
Bosnia and Herzegovina	3301000	Europe	GreaterEuropean,EastEuropean
Mongolia	3290759	Asia	Asian,GreaterEastAsian,EastAsian
Puerto Rico	3195153	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Armenia	2961600	Europe	GreaterEuropean,EastEuropean
Albania	2862427	Europe	GreaterEuropean,EastEuropean
Lithuania	2793486	Europe	GreaterEuropean,EastEuropean
Qatar	2747282	Muslim	GreaterAfrican,Muslim
Jamaica	2726667	Caribbean	New,Caribbean
Moldova	2681735	Europe	GreaterEuropean,EastEuropean
Namibia	2458936	Africa	GreaterAfrican,Africans
Gambia	2347706	Africa	GreaterAfrican,Africans
Botswana	2338851	Africa	GreaterAfrican,Africans
Gabon	2172579	Africa	GreaterAfrican,Africans
Slovenia	2089310	Europe	GreaterEuropean,EastEuropean
North Macedonia	2077132	Europe	GreaterEuropean,EastEuropean
Lesotho	2007201	Africa	GreaterAfrican,Africans
Latvia	1910400	Europe	GreaterEuropean,EastEuropean
Kosovo	1795666	Europe	GreaterEuropean,EastEuropean
Guinea-Bissau	1604528	Africa	GreaterAfrican,Africans
Bahrain	1543300	Muslim	GreaterAfrican,Muslim
East Timor	1387149	Asia	Asian,GreaterEastAsian,EastAsian
Trinidad and Tobago	1363985	Caribbean	New,Caribbean
Equatorial Guinea	1358276	Africa	GreaterAfrican,Africans
Estonia	1324820	Europe	GreaterEuropean,EastEuropean
Mauritius	1265985	Africa	GreaterAfrican,Africans
Eswatini	1093238	Africa	GreaterAfrican,Africans
Djibouti	1078373	Muslim	GreaterAfrican,Muslim
Fiji	884887	Pacific	New,Pacific
Cyprus	875900	Europe	GreaterEuropean,WestEuropean,Italian
Comoros	873724	Africa	GreaterAfrican,Africans
Guyana	782766	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Bhutan	741672	Asia	Asian,IndianSubContinent
Solomon Islands	680806	Pacific	New,Pacific
Macau	676100	Asia	Asian,GreaterEastAsian,EastAsian
Montenegro	622359	Europe	GreaterEuropean,EastEuropean
Luxembourg	613894	Europe	GreaterEuropean,WestEuropean,French
Western Sahara	582463	Muslim	GreaterAfrican,Muslim
Suriname	581372	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Cape Verde	550483	Africa	GreaterAfrican,Africans
Malta	493559	Europe	GreaterEuropean,WestEuropean,Italian
Transnistria	469000	Europe	GreaterEuropean,EastEuropean
Brunei	442400	Asia	Asian,GreaterEastAsian,EastAsian
Belize	408487	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Bahamas	385340	Caribbean	New,Caribbean
Maldives	374775	Asia	Asian,IndianSubContinent
Iceland	362860	Europe	GreaterEuropean,WestEuropean,Nordic
Northern Cyprus	351965	Muslim	GreaterAfrican,Muslim
Vanuatu	304500	Pacific	New,Pacific
French Guiana	296711	Hispanic	GreaterEuropean,WestEuropean,Hispanic
Barbados	287025	Caribbean	New,Caribbean
New Caledonia	282200	Pacific	New,Pacific
French Polynesia	275918	Pacific	New,Pacific
Abkhazia	244832	Europe	GreaterEuropean,EastEuropean
São Tomé and Príncipe	201784	Caribbean	New,Caribbean
Samoa	200874	Pacific	New,Pacific
Saint Lucia	178696	Caribbean	New,Caribbean
Guam	172400	Pacific	New,Pacific
Curaçao	158665	Caribbean	New,Caribbean
Artsakh	148000	Europe	GreaterEuropean,EastEuropean
Kiribati	120100	Pacific	New,Pacific
Aruba	112309	Caribbean	New,Caribbean
Grenada	112003	Caribbean	New,Caribbean
Saint Vincent and the Grenadines	110608	Caribbean	New,Caribbean
Jersey	106800	Europe	GreaterEuropean,British
U.S. Virgin Islands	104578	Caribbean	New,Caribbean
Federated States of Micronesia	104468	Pacific	New,Pacific
Tonga	100651	Pacific	New,Pacific
Seychelles	97625	Africa	GreaterAfrican,Africans
Antigua and Barbuda	96453	Caribbean	New,Caribbean
Isle of Man	83314	Europe	GreaterEuropean,British
Andorra	76177	Europe	GreaterEuropean,WestEuropean,French
Dominica	71808	Caribbean	New,Caribbean
Cayman Islands	65813	Caribbean	New,Caribbean
Bermuda	64027	Caribbean	New,Caribbean
Guernsey	62506	Europe	GreaterEuropean,British
American Samoa	56700	Pacific	New,Pacific
Greenland	56225	Europe	GreaterEuropean,WestEuropean,Nordic
Northern Mariana Islands	56200	Pacific	New,Pacific
Marshall Islands	55500	Pacific	New,Pacific
South Ossetia	53532	Europe	GreaterEuropean,EastEuropean
Saint Kitts and Nevis	52823	Caribbean	New,Caribbean
Faroe Islands	52122	Europe	GreaterEuropean,WestEuropean,Nordic
Turks and Caicos Islands	41369	Caribbean	New,Caribbean
Sint Maarten	40614	Caribbean	New,Caribbean
Liechtenstein	38380	Europe	GreaterEuropean,WestEuropean,Germanic
Monaco	38300	Europe	GreaterEuropean,WestEuropean,French
Saint Martin	35746	Caribbean	New,Caribbean
Gibraltar	33701	Europe	GreaterEuropean,British
San Marino	33524	Europe	GreaterEuropean,WestEuropean,Italian
British Virgin Islands	30030	Caribbean	New,Caribbean
Palau	17900	Pacific	New,Pacific
Cook Islands	15200	Pacific	New,Pacific
Anguilla	14869	Caribbean	New,Caribbean
Wallis and Futuna	11700	Pacific	New,Pacific
Nauru	11000	Pacific	New,Pacific
Tuvalu	10200	Pacific	New,Pacific
Saint Barthélemy	9793	Caribbean	New,Caribbean
Saint Pierre and Miquelon	6008	North America	GreaterEuropean,WestEuropean,French
Montserrat	4989	Caribbean	New,Caribbean
Falkland Islands	3198	Europe	GreaterEuropean,British
Christmas Island	1928	Asia	Asian,GreaterEastAsian,EastAsian
Norfolk Island	1756	Pacific	New,Pacific
Niue	1520	Pacific	New,Pacific
Tokelau	1400	Pacific	New,Pacific
Vatican City	799	Europe	GreaterEuropean,WestEuropean,Italian
Cocos Islands	538	Asia	Asian,GreaterEastAsian,EastAsian
Pitcairn Islands	50	Pacific	New,Pacific
