African	1787	628	100	360	77	14	160	95
CelticEnglish	401	50377	472	3283	753	77	353	413
EastAsian	65	576	9551	245	81	18	144	159
European	297	3354	154	32692	516	52	606	113
Hispanic	74	886	68	891	11363	9	59	36
Israeli	12	200	11	130	14	455	70	18
Muslim	57	348	68	622	32	34	4776	204
SouthAsian	36	576	98	108	49	7	241	2890
