category	roc_auc
African	0.9217919680737351
CelticEnglish	0.9690973168912036
EastAsian	0.9794573678531729
European	0.9633523901670058
Finland	0.9708748701530812
Greek	0.9664726720112058
Hispanic	0.9781537316843077
Jewish	0.9606847374579582
Muslim	0.9659828875283146
Nordic	0.9651671336877778
SouthAsian	0.9665120086922394
